alpha,beta,coherence,topics,perplexity
0.9099999999999999,symmetric,0.5848810976370274,11,-5.952049188575927
symmetric,0.01,0.5220963130111232,11,-9.759315828503595
symmetric,0.31,0.5332713131182666,11,-6.001587961290099
symmetric,0.61,0.5630018732174219,11,-6.259069741318874
symmetric,0.9099999999999999,0.5716500605869944,11,-6.364850105028555
symmetric,symmetric,0.5054877426873428,11,-6.089617745159041
asymmetric,0.01,0.47040853717770936,11,-9.770803474605094
asymmetric,0.31,0.598198119913177,11,-5.96288167637311
asymmetric,0.61,0.5712365607146066,11,-6.239795094715841
asymmetric,0.9099999999999999,0.5752502555529618,11,-6.278314865670272
asymmetric,symmetric,0.4918848668340457,11,-6.050947444317414
